1	Отражен износ основных средств, используемых в цехах вспомогательных и прочих производств 	2310	0211-0290	Расчет износа основных средств
2	Начислена амортизация нематериальных активов, относящихся к расходам вспомогательных и прочих производств 	2310	0510-0590	Расчет амортизации НМА
3	Израсходованы материалы на нужды вспомогательных и прочих производств 	2310	1010-1070 1090	Накладная
4	Отражен забой животных для получения продукции 	2310	1110	Акт забоя животных
5	Списаны на нужды вспомогательных и прочих производств инвентарь и хозяйственные принадлежности 	2310	1080	Накладная
6	Переоценены в сторону увеличения (дооценка) суммы незавершенного производства во вспомогательных и прочих обслуживающих цехах 	2310	9390	Решение руководства предприятия, расчеты бухгалтерии
7	Отклонения в стоимости материалов в исчисленной доле списаны на счета вспомогательных и прочих производств (положительным числом или сторно) 	2310	1610	Расчеты бухгалтерии
8	Полуфабрикаты собственного производства израсходованы на нужды вспомогательных и прочих производств 	2310	2110	Накладная
9	Соответствующая доля общепроизводственных расходов включена в себестоимость продукции, работ и услуг вспомогательных и прочих производств 	2310	2510	Расчеты бухгалтерии
10	В себестоимость продукции вспомогательных и прочих производств включены потери от брака при ее изготовлении 	2310	2610	Акт о браке, расчеты бухгалтерии
11	Доля расходов будущих периодов отнесена на себестоимость продукции, работ и услуг вспомогательных и прочих производств 	2310	3110-3190	Расчеты бухгалтерии
12	Часть продукции основных цехов использована на нужды вспомогательных и прочих производств 	9110, 2310	2810, 9010	Накладная
13	Оплачены наличными разные расходы вспомогательных и прочих производств 	2310	5010	Отчет лиц, ответственных за расходы
14	Акцептованы счета поставщиков за материальные ценности и поступившие во вспомогательные и прочие цехи услуги (вода, пар, энергия, связь и т. п.) 	2310	6010, 6990	Договор, счет-фактура
15	Суммы неудовлетворенных претензий, относящихся к вспомогательным цехам, списаны на себестоимость их продукции, работ и услуг 	2310	4860	Решение суда, решение руководителя предприятия, расчет бухгалтерии
16	Отражены затраты на обязательное имущественное и личное страхование работников вспомогательных и прочих цехов (задолженность страховым организациям) 	2310	6510	Расчет бухгалтерии
17	Отражены отчисления на социальное страхование и обеспечение от сумм оплаты труда работников вспомогательных цехов 	2310	6520	Расчет бухгалтерии
18	Начислены суммы, подлежащие взносу во внебюджетные фонды (по затратам вспомогательных и прочих производств) 	2310	6520	Расчет бухгалтерии
19	Начислены суммы по оплате труда работникам вспомогательных производств 	2310	6710	Акт выполненных работ, табели учета, расчет бухгалтерии 
20	Отражена задолженность разным предприятиям за оказанные ими услуги цехам вспомогательных и прочих производств 	2310	6990	Договор, акт выполненных работ, услуг
21	Отражена задолженность подотчетным лицам за произведенные ими расходы сверх полученных сумм	2310	6970	Накладная, отчет подотчетных лиц, расчет бухгалтерии
22	Отражены расходы по командировкам работников вспомогательных цехов:			Авансовый отчет и приложенные к нему первичные документы
	- если им выдан аванс 	2310	4220	
	- если им аванс не выдан 	2310	6970	
23	Отражены услуги, оказанные вспомогательным и прочим производствам внутренними подразделениями, выделенными на отдельный баланс 	2310	6110	Договор, накладная, счет-фактура
24	Оприходованы излишки незавершенного производства (в сумме превышения над недостачами) во вспомогательных и прочих цехах 	2310	9390	Акт инвентаризации, расчет бухгалтерии
25	Стоимость недостающих материальных ценностей отнесена на себестоимость продукции, работ и услуг вспомогательных и прочих производств 	2310	5910	Акт инвентаризации, расчет бухгалтерии
26	Часть работ и услуг оказана вспомогательными цехами другим предприятиям в порядке долгосрочных инвестиций (погашение стоимости приобретенных ценных бумаг) 	9110 0610	2310 9010-9030	Договор, накладная, счет-фактура, акт выполненных работ
27	Затраты вспомогательных производств, осуществленные при приобретении оборудования к установке (в том числе транспортные услуги), включены в стоимость оборудования 	0710-0720	2310	Счета транспортных организаций, рапорт, акт выполненных работ, расчет бухгалтерии
28	Списана фактическая себестоимость продукции вспомогательных цехов, выполненной для своего капитального строительства 	0810	2310	Накладная, акт выполненных работ
29	Списаны затраты и услуги вспомогательных и прочих цехов, произведенные ими при капвложениях 	0810-0890	2310	Накладная, акт выполненных работ
30	Отражен возврат материалов и отходов, ранее списанных на нужды вспомогательных и прочих производств; оприходованы выпущенные вспомогательными и прочими производствами запасные части 	1010-1090	2310	Докладная, расчет бухгалтерии
31	Затраты вспомогательных и прочих цехов включены в себестоимость животных на выращивании и откорме 	1110	2310	Расчет себестоимости
32	Отражен возврат инвентаря и хозяйственных принадлежностей, ранее списанных на затраты вспомогательных производств; оприходованы инвентарь и хозяйственные принадлежности, произведенные вспомогательными и прочими цехами 	1080	2310	Докладная, расчет бухгалтерии
33	Переоценены в сторону снижения (уценка) суммы незавершенного производства во вспомогательных цехах 	9430	2310	Решение руководителя предприятия, расчет бухгалтерии
34	Услуги и затраты вспомогательных цехов, оказанные ими при заготовлении и приобретении материалов, включены в себестоимость этих материалов 	1510	2310	Накладная, акт выполненных работ, услуг, расчет бухгалтерии
35	Списаны затраты на капитальный ремонт арендованных основных средств (за счет арендатора) 	6990	2310	Акт выполненных работ, услуг, расчет бухгалтерии
