1	Перечислена арендная плата, уплаченная вперед	3110	5110	Договор аренды, платежное поручение
2	Отпущены материалы для проведения работ, учитываемых в расходах будущих периодов 	3120, 3190	1010	Счет-фактура, накладные, требование
3	Израсходованы инвентарь и хозяйственные принадлежности для проведения работ, учитываемых в расходах будущих периодов 	3120, 3190	1080	Счет-фактура, накладные, требование
4	Отражены услуги вспомогательных производств, оказанные при проведении работ, относимых к расходам будущих периодов 	3120, 3190	2310	Счет-фактура, накладные, требование
5	Списана доля общепроизводственных расходов, относящихся к работам, связанным с будущими периодами 	3120, 3190	2510	Ведомость распределения общепроизводственных расходов
6	Списаны расходы обслуживающих производств, относящиеся к работам, связанным с будущими периодами 	3120, 3190	2710	Ведомость распределения расходов обслуживающих производств
7	Израсходована готовая продукция для проведения работ, учитываемых в расходах будущих периодов 	3120, 3190	2810	Счет-фактура, накладные, требование
8	Израсходованы товары для проведения работ, учитываемых в расходах будущих периодов 	3120, 3190	2910	Счет-фактура, накладные, требование
9	Списаны расходы по командировкам, относящиеся к расходам будущих периодов: 			Авансовый отчет и приложенные к нему документы
	- если подотчетному лицу предоставлен аванс 	3190	4220	
	- если аванс не предоставлен 	3190	6970	
10	Произведены расходы по подписке на будущий год	3120	5110	Договор о подписке, платежное поручение 
11	Приобретены проездные карточки для персонала предприятия на длительный период	3120	5110	Договор о приобретении проездных карточек, приказ по предприятию, расчет определения потребности проездных карточек, платежное поручение 
12	Отражена задолженность поставщикам или подрядчикам за материальные ценности или работы, относимые к расходам будущих периодов 	3120, 3190	6010, 7010	Счет-фактура, ТТН
13	Отражена задолженность дочерним и зависимым предприятиям за работы и услуги, относимые к расходам будущих периодов 	3120, 3190	6110, 6120, 7110, 7120	Счет-фактура, ТТН
14	Отражена задолженность бюджету по работам, относимым к расходам будущих периодов 	3190	6410	Справка-расчет бухгалтерии
15	Отражена задолженность органам социального страхования по работам, относимым к расходам будущих периодов 	3190	6510, 6520	Справка-расчет бухгалтерии
16	Отражена задолженность по заработной плате работникам, занятым на работах, относимых к расходам будущих периодов 	3190	6710	Справка-расчет бухгалтерии
17	Отражена задолженность прочим кредиторам за материальные ценности или работы, относимые к расходам будущих периодов 	3190	6990	Счет-фактура, ТТН
18	Списана доля расходов будущих периодов, относящаяся к капитальным вложениям 	0810-0890	3190	Расчет списания РБП, счет-фактура, накладные, акты выполненных работ
19	Доля расходов будущих периодов при наступлении очередного отчетного периода отнесена на затраты основного производства	2010	3110-3190	Расчет списания расходов будущих периодов, счет-фактура, накладные, акты выполненных работ 
20	Доля расходов будущих периодов при наступлении очередного отчетного периода отнесена на затраты вспомогательных производств	2310	3110-3190	Расчет списания расходов будущих периодов, счет-фактура, накладные, акты выполненных работ
21	Доля расходов будущих периодов при наступлении очередного отчетного периода отнесена на общепроизводственные расходы 	2510	3110-3190	Расчет списания расходов будущих периодов, счет-фактура, накладные, акты выполненных работ
22	Доля расходов будущих периодов отнесена на расходы обслуживающих производств	2710	3190	Расчет списания РБП, счет-фактура, накладные, акты выполненных работ 
23	В текущем отчетном периоде списана часть расходов будущих периодов, приходящаяся на расходы, связанные с реализацией 	9410	3110, 3120, 3190	Расчет списания расходов будущих периодов
24	Отражено ежемесячное включение расходов будущих периодов в административные расходы за отчетный период 	9420	3110-3190	Расчет списания расходов периода
25	Отражено ежемесячное включение расходов будущих периодов в общехозяйственные расходы 	9430	3120	Расчет списания расходов
26	Списаны расходы будущих периодов на убытки	9430	3190	Расчет списания расходов будущих периодов, акты списания 
27	Списаны расходы будущих периодов, приведшие к убыткам изза стихийных бедствий и непредвиденных обстоятельств 	9720	3190	Расчет списания расходов будущих периодов, акты списания
