1	Олдиндан тўланган ижара ҳақи ўтказилган 	3110	5110	Ижара шартномаси, тўлов топшириқномаси 
2	Келгуси давр харажатларида ҳисобга олинадиган ишларни амалга ошириш учун материаллар берилган 	3120, 3190	1010	Ҳисобварақ-фактура, юкхатлар, талабнома 
3	Келгуси давр харажатларида ҳисобга олинадиган ишларни амалга ошириш учун инвентарь ва хўжалик жиҳозлари сарф-харажат қилинган 	3120, 3190	1080	Ҳисобварақ-фактура, юкхатлар, талабнома 
4	Келгуси давр харажатларига тегишли бўлган ишларни амалга оширишда ёрдамчи ишлаб чиқаришнинг кўрсатган хизматлари акс эттирилган 	3120, 3190	2310	Ҳисобварақ-фактура, юкхатлар, талабнома 
5	Келгуси даврлар ишларига тааллуқли бўлган умумишлаб чиқариш харажатлари улуши ҳисобдан чиқарилган 	3120, 3190	2510	Умумишлаб чиқариш харажатларини тақсимлаш қайдномаси 
6	Хизмат кўрсатувчи ишлаб чиқаришларнинг келгуси даврлар билан боғлиқ ишларига тааллуқли харажатлари ҳисобдан чиқарилган 	3120, 3190	2710	Хизмат кўрсатувчи ишлаб чиқаришлар харажатларини тақсимлаш қайдномаси 
7	Келгуси давр харажатларида ҳисобга олинадиган ишларни амалга ошириш учун тайёр маҳсулотлар сарф-харажат қилинган 	3120, 3190	2810	Ҳисобварақ-фактура, юкхатлар, талабнома
8	Келгуси давр харажатларида ҳисобга олинадиган ишларни амалга ошириш учун товарлар сарф-харажат қилинган 	3120, 3190	2910	Ҳисобварақ-фактура, юкхатлар, талабнома 
9	Келгуси давр харажатларига тааллуқли хизмат сафари бўйича харажатлар ҳисобдан чиқарилган: 			Бўнак ҳисоботи ва унга илова қилинган ҳужжатлар 
	- ҳисобдор шахсга бўнак берилган бўлса 	3190	4220
	- ҳисобдор шахсга бўнак берилмаган бўлса 	3190	6970
10	Келгуси йилга обуна бўйича харажатлар амалга оширилган 	3120	5110	Обуна шартномаси, тўлов топшириқномаси 
11	Корхона ходимлари учун узоқ муддатга йўл ҳақи карточкалари харид қилинган 	3120	5110	Йўл ҳақи карточкаларини харид қилиш шартномаси, корхона буйруғи, йўл ҳақи карточкаларига эҳтиёжнинг ҳисоб-китоби, тўлов топшириқномаси 
12	Келгуси давр харажатларига тегишли бўлган моддий қийматликлар ёки ишлар учун мол етказиб берувчилар ёки пудратчилар олдидаги қарзлар акс эттирилган 	3120, 3190	6010, 7010	Ҳисобварақ-фактура, товар-транспорт юкхати 
13	Келгуси давр харажатларида ҳисобга олинадиган ишлар ва хизматлар учун шуъба ва қарам хўжаликларга қарз акс эттирилган 	3120, 3190	6110, 6120, 7110, 7120	Ҳисобварақ-фактура, товар-транспорт юкхати 
14	Келгуси давр харажатларида ҳисобга олинадиган ишлар бўйича бюджетга қарз акс эттирилган 	3190	6410	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
15	Келгуси давр харажатларида ҳисобга олинадиган ишлар бўйича ижтимоий суғурта идораларига қарз акс эттирилган 	3190	6510, 6520	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
16	Келгуси давр харажатларида ҳисобга олинадиган ишларда банд бўлган ишчиларнинг меҳнат ҳақи бўйича қарз акс эттирилган 	3190	6710	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
17	Келгуси давр харажатларида ҳисобга олинадиган моддий қийматликлар ёки ишлар учун бошқа кредиторларга қарз акс эттирилган 	3190	6990	Ҳисобварақ-фактура, товар-транспорт юкхати 
18	Капитал қўйилмаларга тааллуқли келгуси давр харажатлари улуши ҳисобдан чиқарилган 	0810-0890	3190	Келгуси давр харажатларини ҳисобдан чиқариш ҳисоб-китоби, ҳисобварақ-фактура, юкхатлар, бажарилган ишлар далолатномалари 
