1	Меҳнат ҳақи ҳисобидан бўнак берилган 	4210	5010	Ҳисоб-китоб тўлов қайдномалари 
2	Ходимларга келгусидаги меҳнат ҳақи ҳисобига берилган бўнаклар ушлаб қолинган 	6710	4210	Ҳисоб-китоб тўлов қайдномалари 
3	Ҳисобдор шахсларга хизмат сафарлари учун кассадан сўмда бўнаклар берилган 	4220	5010	Меҳнат сафари тўғрисида буйруқ, бўнак ҳисоб-китоби, чиқим касса ордери 
4	Ҳисобдор шахсларга хизмат сафарлари учун кассадан чет эл валютасида бўнаклар берилган 	4220	5020	Меҳнат сафари тўғрисида буйруқ, бўнак ҳисоб-китоби, чиқим касса ордери 
5	Ҳисобдор шахсларга хизмат сафарлари учун ҳисоб-китоб счётидан бўнаклар берилган 	4220	5110	Меҳнат сафари тўғрисида буйруқ, бўнак ҳисоб-китоби, банк кўчирмалари 
6	Ҳисобдор шахсларга хизмат сафарлари учун валюта счётидан бўнаклар берилган 	4220	5210	Меҳнат сафари тўғрисида буйруқ, бўнак ҳисоб-китоби, банк счётларидан кўчирмалар 
7	Ҳисобдор шахсларга хизмат сафарлари учун бошқа махсус счётлардан бўнаклар берилган 	4220	5530	Меҳнат сафари тўғрисида буйруқ, бўнак ҳисоб-китоби, банк счётларидан кўчирмалар 
8	Ҳисобдор шахсларга турли умумхўжалик харажатларни амалга ошириш ва бошқа мақсадлар учун кассадан суммалар берилган 	4230	5010	Кассир ҳисоботи, чиқим касса ордери 
9	Ҳисобдор шахсларга кассадан пул ҳужжатлари (турли маркалар ва бошқалар) берилган 	4230	5010, 5020	Кассир ҳисоботи, чиқим касса ордери 
10	Олинган бўнакнинг ишлатилмаган суммалари ҳисобдор шахслар томонидан кассага қайтарилган 	5010	4220, 4230, 4290	Кирим касса ордери
11	Олинган бўнакнинг ишлатилмаган валюта суммалари ҳисобдор шахслар томонидан кассага қайтарилган 	5020	4220, 4230, 4290	Кирим касса ордери
12	Ишлатилмаган ҳисобдор суммалар ходимлар томонидан ҳисоб-китоб счётига қайтарилган 	5110	4220, 4230	Банк счётларидан кўчирмалар 
13	Ишлатилмаган ҳисобдор суммалар ходимлар томонидан валюта счётига қайтарилган 	5210	4220 4230	Банк счётларидан кўчирмалар 
14	Ҳисобдор шахсларга қишлоқ хўжалик маҳсулотлари ва ҳайвонларни харид қилиш учун бўнаклар берилган 	4230	5010	Бўнак ҳисоб-китоби
15	Ҳисобдор шахслар томонидан ҳисобдорлик учун пул ҳужжатлари олинган 	4290	5610	Ишончномага асосан
16	Харид қилинган турли пул ҳужжатлари (маркалар, йўлланмалар ва б.) учун ҳисобдор шахслар томонидан ҳақ тўланган 	5610	4290	Бўнак ҳисоботи
17	Ишлатилмаган пул ҳужжатлари қайтарилган 	5610	4290	Бўнак ҳисоботи
18	Ҳисобдор шахслар томонидан ўрнатиладиган ускуналарни харид қилиш билан боғлиқ харажатлар амалга оширилган 	0710	4220, 4290	Бўнак ҳисоботи
19	Ҳисобдор шахслар томонидан капитал қўйилмалар билан боғлиқ харажатлар амалга оширилган 	0810	4220, 4290	Бўнак ҳисоботи
20	Ҳисобдор шахслар томонидан материалларни харид қилиш билан боғлиқ харажатлар амалга оширилган 	1010-1090	4220, 4290	Бўнак ҳисоботи
21	Ҳисобдор шахслар томонидан инвентарь ва хўжалик жиҳозларини харид қилиш билан боғлиқ харажатлар амалга оширилган 	1080	4220, 4290	Бўнак ҳисоботи
22	Ҳисобдор шахслар томонидан асосий ишлаб чиқариш бўйича харажатлар амалга оширилган 	2010	4230, 4290	Бўнак ҳисоботи
23	Ҳисобдор шахслар томонидан ёрдамчи ишлаб чиқариш бўйича харажатлар амалга оширилган 	2310	4230, 4290	Бўнак ҳисоботи
24	Умумишлаб чиқариш харажатлари ҳисобдор шахслар орқали амалга оширилган 	2510	4230, 4290	Бўнак ҳисоботи
25	Ҳисобдор шахслар томонидан маҳсулот яроқсизлиги билан боғлиқ турли харажатлар тўланган 	2610	4230, 4290	Бўнак ҳисоботи
26	Ҳисобдор шахслар томонидан товарларни харид қилиш билан боғлиқ харажатлар амалга оширилган 	2910	4220, 4290	Бўнак ҳисоботи
27	Ҳисобдор шахслар томонидан инвестициялар билан боғлиқ харажатлар амалга оширилган 	0610, 5810	4220, 4290	Бўнак ҳисоботи
28	Ҳисобдор шахслар томонидан давр харажатларига тегишли турли харажатлар тўланган 	9410, 9420, 9430	4230, 4290	Бўнак ҳисоботи
29	Ҳисобдор шахслар томонидан келгуси давр харажатларига тегишли турли харажатлар ва келгусида солиқ солинадиган базадан чиқариладиган ҳисобот даврига тегишли харажатлар тўланган 	3190 9440	4290	Бўнак ҳисоботи
30	Даргумон қарзлар бўйича резерв ҳисобидан ходимларга берилган бўнаклар бўйича умидсиз дебиторлик қарзи ҳисобдан чиқарилган 	4910	4210-4290	Солиштирма далолатнома, Хўжалик судининг қарори 
31	Ходимларга берилган бўнаклар бўйича умидсиз дебиторлик қарзи зарарга ҳисобдан чиқарилган 	9430	4210-4290	Солиштирма далолатнома, Хўжалик судининг қарори 
