1	Передача основных средств по договору финансовой аренды по согласованной цене с арендатором     	0920, 4810	9210	Договор финансовой аренды
2	Отражен перевод текущей части долгосрочных платежей к получению по договору финансовой аренды согласно графику (порядку) арендных платежей    	4810	0920	Договор финансовой аренды, расчет арендной платы, счет-фактура
3	Поступили денежные средства в кассу от арендаторов в счет погашения задолженности по финансовой аренде согласно договору финансовой аренды    	5010	4810	Договор финансовой аренды, расчет арендной платы, счет-фактура
4	Поступили денежные средства на расчетный счет от арендаторов в счет погашения задолженности по финансовой аренде согласно договору финансовой аренды      	5110	4810	Договор финансовой аренды, расчет арендной платы, счет-фактура
5	Поступили денежные средства на валютный счет от арендаторов в счет погашения задолженности по финансовой аренде согласно договору финансовой аренды    	5210	4810	Договор финансовой аренды, расчет арендной платы, счет-фактура
6	Зачтен ранее полученный аванс от арендатора при наступлении срока оплаты согласно графику (порядку) арендных платежей     	6390	4810	Договор финансовой аренды, расчет арендной платы, счет-фактура
7	Отражен возврат объекта арендатором по окончании договора финансовой аренды на сумму невозмещенной стоимости объекта согласно договору финансовой аренды   	0820	4810	Договор финансовой аренды, расчет арендной платы, счет-фактура
8	Отражен досрочный возврат объекта арендатором на сумму невозмещенной стоимости объекта на дату прекращения согласно договору финансовой аренды   	0820	4810	Договор финансовой аренды, расчет арендной платы, счет-фактура
9	Начислены арендные платежи, относящиеся к отчетному периоду (согласно графику (порядку) арендных платежей или договору оперативной аренды), на предприятиях, основной деятельностью которых не является предоставление имущества в оперативную аренду   	4820	9350	Договор оперативной аренды, расчет арендной платы, счет-фактура
10	Отражен НДС по оперативной аренде   	4820	6410	Договор аренды, расчет НДС
11	Поступили арендные платежи на предприятия, основной деятельностью которых не является предоставление имущества в оперативную аренду    	5110	4820	Договор оперативной аренды, расчет арендной платы, счет-фактура
12	Зачтен ранее полученный аванс от арендатора при наступлении срока оплаты согласно графику (порядку) арендных платежей или договору оперативной аренды на предприятиях, основной деятельностью которых не является предоставление имущества в оперативную аренду   	6390	4820	Договор оперативной аренды, расчет арендной платы, счет-фактура
13	Отражены причитающиеся проценты по выданным кредитам   	4830	9530	Договоры, справка-расчет бухгалтерии
14	Начислены проценты по полученным векселям    	4830	9530	Справка-расчет бухгалтерии
15	Отражена положительная курсовая разница по начисленным процентам:   			Расчет курсовой разницы
	- по методу прямого отнесения    	4830	9540	
	- по методу накопления   	4830	6230	
16	Поступили на расчетный счет проценты    	5110	4830	Выписка банка с расчетного счета
17	Поступили на валютный счет проценты    	5210	4830	Выписка банка с валютного счета
18	Отражена отрицательная курсовая разница по причитающимся процентам:  			Расчет курсовой разницы
	- по методу прямого отнесения     	9620	4830	
	- по методу накопления     	3290	4830	
19	Отражены причитающиеся дивиденды	4840	9520	Протокол собрания учредителей, справка-расчет бухгалтерии  
20	Отражена положительная курсовая разница по начисленным дивидендам:  			Расчет курсовой разницы
	- по методу прямого отнесения    	4840	9540	
	- по методу накопления    	4840	6230	
21	Начислены суммы доходов от долевого участия в других организациях    	4840	9520	Протокол собрания учредителей
22	Поступили на расчетный счет дивиденды    	5110	4840	Выписка банка с расчетного счета
23	Поступили на валютный счет дивиденды    	5210	4840	Выписка банка с валютного счета
24	Отражена отрицательная курсовая разница по причитающимся дивидендам:    			Расчет курсовой разницы
	- по методу прямого отнесения    	9620	4840	
	- по методу накопления    	3290	4840	
25	Отражены причитающиеся от клиентов роялти    	4850	9510	Договоры, справка-расчет бухгалтерии
26	Отражена положительная курсовая разница по начисленному роялти:    			Расчет курсовой разницы
	- по методу прямого отнесения     	4850	9540	
	- по методу накопления    	4850	6230	
27	Поступили на расчетный счет роялти    	5110	4850	Выписка банка с расчетного счета
28	Поступили на валютный счет роялти	5210	4850	Договоры, справка-расчет бухгалтерии, выписка банка с валютного счета    
29	Отражена отрицательная курсовая разница по причитающимся роялти:    			Расчет курсовой разницы
	- по методу прямого отнесения     	9620	4850	
	- по методу накопления    	3290	4850	
30	Предъявлена претензия по выявленным несоответствиям цен, тарифов, ошибкам в счетах на оборудование к установке   	4860	0710, 0720	Претензионное письмо, коммерческий акт, акт сверки
31	Предъявлены претензии по завышению объемов, несоответствиям в ценах и ошибкам в счетах, ранее оплаченные для капитального вложения	4860	0810- 0890	Договор, проектно-сметная документация, претензионное письмо, акт завышения объемов, акт сверки   
32	Предъявлены претензии по несоответствиям в ценах, арифметическим ошибкам и недостаче материалов   	4860	1010	Претензионное письмо, коммерческий акт, акт сверки
33	Предъявлены претензии по недостачам, ошибкам в счетах, качеству (при использовании счета 1510)   	4860	1510	Претензионное письмо, коммерческий акт, акт сверки
34	Предъявлена претензия к заказчику на сумму выполненных работ в связи с его отказом от заказа    	4860	2010	Претензионное письмо, коммерческий акт, акт сверки
35	Предъявлены претензии по несоответствиям в ценах, арифметическим ошибкам и недостаче товаров     	4860	2910	Претензионное письмо, коммерческий акт, акт сверки
36	Предъявлены претензии банку по суммам, ошибочно списанным с расчетного счета предприятия   	4860	5110	Претензионное письмо, акт сверки
37	Предъявлены претензии банку по суммам, ошибочно списанным с валютного счета предприятия 	4860	5210	Претензионное письмо, акт сверки
38	Предъявлены претензии банку по суммам, ошибочно списанным со специальных счетов в банке   	4860	5510- 5530	Претензионное письмо, акт сверки
39	Предъявлены претензии поставщикам при оприходовании поступивших материальных ценностей  	4860	6010	Претензионное письмо, коммерческий акт, акт сверки
40	Предъявлены претензии поставщикам при оприходовании поступивших основных средств  	4860	0820	Претензионное письмо, коммерческий акт, акт сверки
41	Предъявлены претензии поставщикам при оприходовании поступивших нематериальных и других активов	4860	0830	Претензионное письмо, коммерческий акт, акт сверки
42	Признаны другими предприятиями cуммы штрафов, пени и неустоек за несоблюдение договорных обязательств   	4860	9330	Претензионное письмо, коммерческий акт, акт сверки
43	Получены основные средства в счет оплаты претензии	0110- 0190	4860	Претензионное письмо, коммерческий акт, акт сверки    
44	Получены нематериальные активы в счет оплаты претензии	0410- 0490	4860	Претензионное письмо, коммерческий акт, акт сверки   
45	Получены материалы в счет оплаты претензии	1010- 1090	4860	Претензионное письмо, коммерческий акт, акт сверки   
46	Получены товары в счет оплаты претензии	2910	4860	Претензионное письмо, коммерческий акт, акт сверки   
47	Отнесены на убытки суммы неудовлетворенных претензий	9430	4860	Претензионное письмо, коммерческий акт, акт сверки, приказ руководителя 
48	Внутренние подразделения, выделенные на отдельный баланс, оказали услуги разным организациям и предприятиям    	4890	6110	Счета оказанных услуг, акт приемки
49	Отражены суммы, причитающиеся работникам за счет других предприятий, третьих лиц и т. п.   	4890	6710	Накладная, акт выполненных работ
50	Отражена задолженность арендодателя в счет возмещения стоимости капитальных вложений по улучшению основных средств, полученных по договору оперативной аренды    	4890	9220	Договор аренды, акт приема-передачи
51	Поступили денежные средства от арендодателя в счет возмещения стоимости капитальных вложений по улучшению основных средств, полученных по договору оперативной аренды     	5110	4890	Договор аренды, акт приема-передачи
