1	Отражена сумма убытка от выбытия недостающего основного средства  	5910 9210	9210 0100	Акт ликвидации основных средств, акт инвентаризации
2	Отражена сумма убытка от выбытия неустановленного оборудования	5910 9220	9220 0700	Акт ликвидации неустановленного оборудования, акт инвентаризации  
3	Отражена сумма убытка от выбытия незавершенного строительства	5910 9220	9220 0810	Акт инвентаризации, сличительная ведомость  
4	Отражена сумма убытка от выбытия (остаточная стоимость) недостающего нематериального актива 	5910 9220	9220 0400	Акт инвентаризации, сличительная ведомость  
5	Отражена сумма убытка от недостачи долгосрочных и краткосрочных инвестиций 	5910 9220	9220 0600, 5800	Акт инвентаризации, сличительная ведомость 
6	Отражена фактическая (балансовая) стоимость выявленной при инвентаризации недостачи материальных запасов 	5910	1010- 1090	Акт инвентаризации, сличительная ведомость
7	Отражена фактическая (балансовая) стоимость выявленной при инвентаризации недостачи животных на выращивании  	5910	1110	Акт инвентаризации, сличительная ведомость
8	Списана фактическая (балансовая) стоимость выявленной при инвентаризации недостачи животных на откорме  	5910	1120	Акт инвентаризации, сличительная ведомость
9	Списана фактическая стоимость выявленной при инвентаризации недостачи затрат незавершенного производства  	5910	2010	Акт инвентаризации, сличительная ведомость
10	Списана фактическая стоимость выявленной при инвентаризации недостачи полуфабрикатов собственного производства  	5910	2110	Акт инвентаризации, сличительная ведомость
11	Отражена фактическая стоимость выявленной при инвентаризации недостачи затрат вспомогательного производства  	5910	2310	Акт инвентаризации, сличительная ведомость
12	Отражена фактическая стоимость выявленной при инвентаризации недостачи готовой продукции  	5910	2810	Акт инвентаризации, сличительная ведомость
13	Отражена фактическая стоимость выявленной при инвентаризации недостачи товаров  	5910	2910- 2990	Акт инвентаризации, сличительная ведомость
14	Отражена рыночная стоимость недостающих товарно-материальных запасов, подлежащая взысканию с виновного или материально ответственного лица, в случае признания виновным материально ответственного лица (или другого работника)  	4730	5910	Акт инвентаризации, сличительная ведомость, приказ руководителя
15	Отражена сумма убытков от выбытия недостающих активов в случае, если конкретные виновники недостачи не установлены или возможность взыскания с материально ответственных лиц отсутствует  	9430	5910	Акт инвентаризации, сличительная ведомость
16	Отражена разница между рыночной стоимостью недостающих активов, подлежащих взысканию с виновных или материально ответственных лиц, и суммой убытка от выбытия недостающих активов в случае, если в результате оценки рыночная стоимость недостающих активов (сумма взыскания) оказалась ниже фактической стоимости недостающих активов  	9430	5910	Акт инвентаризации, сличительная ведомость
17	Приобретены различные прочие активы за наличные суммы  	5920	5010	Расходный кассовый ордер
18	Приобретены различные прочие активы путем перечисления денежных средств  	5910	5110	Выписки со счетов банка, счет-фактура
19	Приобретены различные прочие активы через подотчетных лиц  	5920	6970	Авансовый отчет
20	Приобретены различные прочие активы за счет средств краткосрочного кредита  	5920	6810	Выписки со счетов банка
21	Израсходованы прочие текущие активы	Счета учета затрат   	5920	Накладная, расчеты бухгалтерии
