1	Етишмаётган асосий воситанинг чиқиб кетишидан кўрилган зарар суммаси акс эттирилган 	5910 9210	9210 0100	Асосий воситаларни тугатиш далолатномаси, инвентарлаш далолатномаси 
2	Ўрнатилмаган асбобускуна чиқиб кетишидан кўрилган зарар суммаси акс эттирилган 	5910 9220	9220 0700	Ўрнатилмаган асбоб-ускунани тугатиш далолатномаси, инвентарлаш далолатномаси 
3	Тугалланмаган қурилиш чиқиб кетишидан кўрилган зарар суммаси акс эттирилган 	5910 9220	9220 0810	Инвентарлаш далолатномаси, солиштирма қайднома 
4	Етишмаётган номоддий активнинг чиқиб кетишидан (қолдиқ қиймати) кўрилган зарар суммаси акс эттирилган 	5910 9220	9220 0400	Инвентарлаш далолатномаси, солиштирма қайднома 
5	Узоқ муддатли ва қисқа муддатли инвестициялар камомадидан кўрилган зарар суммаси акс эттирилган 	5910 9220	9220 0600, 5800	Инвентарлаш далолатномаси, солиштирма қайднома 
6	Инвентарлаш жараёнида моддий захиралар бўйича аниқланган камомаднинг амалдаги (баланс) қиймати акс эттирилган 	5910	1010-1090	Инвентарлаш далолатномаси, солиштирма қайднома 
7	Инвентарлаш жараёнида ўстиришдаги ҳайвонлар бўйича аниқланган камомаднинг амалдаги (баланс) қиймати акс эттирилган 	5910	1110	Инвентарлаш далолатномаси, солиштирма қайднома 
8	Инвентарлаш жараёнида бўрдоқига боқувдаги ҳайвонлар бўйича аниқланган камомаднинг ҳақиқий (баланс) қиймати ҳисобдан чиқарилган 	5910	1120	Инвентарлаш далолатномаси, солиштирма қайднома 
9	Инвентарлаш жараёнида тугалланмаган ишлаб чиқариш харажатлари бўйича аниқланган камомаднинг ҳақиқий қиймати ҳисобдан чиқарилган 	5910	2010	Инвентарлаш далолатномаси, солиштирма қайднома 
10	Инвентарлаш жараёнида ўзида ишлаб чиқарилган ярим тайёр маҳсулотлар бўйича аниқланган камомаднинг ҳақиқий қиймати ҳисобдан чиқарилган 	5910	2110	Инвентарлаш далолатномаси, солиштирма қайднома 
11	Инвентарлаш жараёнида ёрдамчи ишлаб чиқариш харажатлари бўйича аниқланган камомаднинг ҳақиқий қиймати акс эттирилган 	5910	2310	Инвентарлаш далолатномаси, солиштирма қайднома 
12	Инвентарлаш жараёнида тайёр маҳсулотлар бўйича аниқланган камомаднинг ҳақиқий қиймати акс эттирилган 	5910	2810	Инвентарлаш далолатномаси, солиштирма қайднома 
13	Инвентарлаш жараёнида товарлар бўйича аниқланган камомаднинг ҳақиқий қиймати акс эттирилган 	5910	2910-2990	Инвентарлаш далолатномаси, солиштирма қайднома 
14	Айбдорлардан ёки моддий жавобгар шахслардан ундирилиши лозим бўлган етишмаётган товар-моддий захираларнинг бозор қиймати акс эттирилган, моддий жавобгар шахс (ёки бошқа ходим) айбдор деб топилган тақдирда 	4730	5910	Инвентарлаш далолатномаси, солиштирма қайднома, раҳбар буйруғи 
15	Етишмаётган активларнинг чиқиб кетишидан кўрилган зарар суммаси акс эттирилган, камомаднинг аниқ айбдорлари аниқланмаган ёки моддий жавобгар шахслардан ундириш имконияти бўлмаган тақдирда 	9430	5910	Инвентарлаш далолатномаси, солиштирма қайднома 
16	Етишмаётган активларнинг айбдор ёки моддий жавобгар шахслардан ундирилиши лозим бўлган бозор қиймати билан етишмаётган активларнинг чиқиб кетишидан кўрилган зарар суммаси ўртасидаги фарқ акс эттирилган, баҳолаш натижасига кўра, етишмаётган активларнинг бозор қиймати (ундириш суммаси) етишмаётган активларнинг ҳақиқий қийматидан паст бўлган тақдирда 	9430	5910	Инвентарлаш далолатномаси, солиштирма қайднома 
17	Турли бошқа активлар нақд пулга харид қилинган 	5920	5010	Чиқим касса ордери 
18	Турли бошқа активлар пул ўтказиш йўли билан харид қилинган 	5910	5110	Банк счётларидан кўчирмалар, ҳисобварақ-фактура 
19	Турли бошқа активлар ҳисобдор шахслар орқали харид қилинган 	5920	6970	Бўнак ҳисоботи
20	Турли бошқа активлар қисқа муддатли кредит маблағлари ҳисобига харид қилинган 	5920	6810	Банк счётларидан кўчирмалар 
21	Бошқа жорий активлар сарф-харажат қилинган	Харажат- ларни ҳисобга олувчи счётлар 	5920	Юкхат, бухгалтериянинг ҳисоб-китоблари 
