1	Отражена сумма дисконта при покупке долгосрочных облигаций со скидкой	0610	6210, 5110- 5530 	Облигационное соглашение, справка-расчет бухгалтерии
2	Отражена сумма дисконта при покупке краткосрочных облигаций со скидкой 	5810	6210	Облигационное соглашение, справка-расчет бухгалтерии  
3	Списан текущий облигационный дисконт 	6210	9530	Справка-расчет бухгалтерии 
4	Отражен перевод из долгосрочной части отсроченного дисконта в текущую часть 	7210	6210	Справка-расчет бухгалтерии
5	Отражена сумма премии при продаже облигаций с премией  	5110- 5530 	6220	Справка-расчет бухгалтерии
6	Списана текущая облигационная премия  	6220	9530	Справка-расчет бухгалтерии
7	Списана долгосрочная часть отсроченной премии в текущую часть  	7220	6220	Справка-расчет бухгалтерии
8	Отражена отрицательная курсовая разница по кредиторской задолженности по методу накопления 	3290	6230	Справка-расчет бухгалтерии
9	Отражена отрицательная курсовая разница по прочим отсроченным доходам по методу прямого отнесения   	9620	6230	Справка-расчет бухгалтерии
10	Поступили денежные средства за поставляемые ТМЦ, оказываемые услуги, выполняемые работы в будущем   	5110	6230	Выписка банка, договор
11	Поступили валютные средства за поставляемые ТМЦ, оказываемые услуги, выполняемые работы в будущем   	5210, 5220	6230	Выписки со счетов банка, договор
12	Поступили средства на прочие счета в банках за поставляемые ТМЦ, оказываемые услуги, выполняемые работы в будущем  	5530	6230	Выписки со счетов банка, договор
13	Отражена положительная валютная курсовая разница по прочим отсроченным доходам, выраженным в иностранной валюте, по методу накопления   	6230	6231	Справка-расчет бухгалтерии
14	Отражена положительная валютная курсовая разница по прочим отсроченным доходам, выраженным в иностранной валюте, по методу прямого отнесения   	6230	9540	Справка-расчет бухгалтерии
15	Отсроченный доход включается в доходы по мере реализации готовой продукции   	6230	9010	Счет-фактура, накладная
16	Отсроченный доход включается в доходы по мере реализации товаров   	6230	9020	Счет-фактура, накладная
17	Отсроченный доход включается в доходы по мере реализации услуг и работ  	6230	9030	Счет-фактура, акт выполненных услуг, работ
18	Отсроченный доход по оперативной аренде включается в доходы при наступлении соответствующего периода  	6230	9350	Договор, счет-фактура
19	Отсроченный доход по финансовой аренде включается в доходы при наступлении соответствующего периода  	6230	9550	Договор, счет-фактура
20	Отражены отсроченные обязательства по налогам, выплату которых разрешается отсрочить по решению уполномоченных правительственных органов в соответствии с законодательством  	6410	6240	Справка-расчет бухгалтерии
21	Отражены отсроченные обязательства по платежам в государственные целевые фонды, выплату которых разрешается отсрочить по решению уполномоченных правительственных органов в соответствии с законодательством   	6520	6240	Справка-расчет бухгалтерии
22	Списана текущая часть долгосрочных отсроченных обязательств по налогам и другим обязательным платежам в отчетный период для выплаты в бюджет   	7240	6240	Расчет списания
23	Уплачены отсроченные обязательства по налогам с наступлением периода времени  	6240	5110	Выписка банка с расчетного счета
24	Отражены обязательства по отсроченному налогу на прибыль по временным разницам  	9810	6250	Справка-расчет бухгалтерии
25	Отражен перевод текущей части долгосрочных обязательств по отсроченному налогу на прибыль по временным разницам  	7250	6250	Справка-расчет бухгалтерии
26	Отражено списание обязательств по мере возникновения отсроченного налога на прибыль   	6250	6410	Справка-расчет бухгалтерии
