1	Ишлаб чиқариш асосий воситаларининг оператив ижараси бўйича қарз ҳисобланган 	2010	6910	Оператив ижара шартномаси, ҳисобварақ-фактура 
2	Ёрдамчи ишлаб чиқариш цехларида ишлатилаётган асосий воситаларнинг оператив ижараси бўйича қарз ҳисобланган 	2310	6910	Оператив ижара шартномаси, ҳисобварақ-фактура 
3	Умумишлаб чиқариш мақсадларида ишлатилаётган асосий воситаларнинг оператив ижараси бўйича қарз ҳисобланган 	2510	6910	Оператив ижара шартномаси, ҳисобварақ-фактура 
4	Маҳсулотларни, товарларни сотиш билан боғлиқ бўлган асосий воситаларнинг оператив ижараси бўйича қарз ҳисобланган 	9410	6910	Оператив ижара шартномаси, ҳисобварақ-фактура 
5	Маъмурий мақсадларда ишлатилаётган асосий воситаларнинг оператив ижараси бўйича қарз ҳисобланган 	9420	6910	Оператив ижара шартномаси, ҳисобварақ-фактура 
6	Оператив ижара бўйича қарз ҳисоб-китоб счётидан қопланган 	6910	5110	Оператив ижара шартномаси, ҳисобварақ-фактура 
7	Қисқа муддатли ва узоқ муддатли кредит бўйича ҳисобланган фоизлар капитал қурилишнинг бошланғич қийматига киритилган 	0810	6920	Фоизларнинг турлари бўйича ҳисоб-китоби 
8	Қисқа муддатли ва узоқ муддатли кредит бўйича ҳисобланган фоизлар номоддий активларнинг бошланғич қийматига киритилган 	0830	6920	Фоизларнинг турлари бўйича ҳисоб-китоби 
9	Қисқа муддатли ва узоқ муддатли кредит бўйича фоизлар ҳисобланган 	9610	6920	Фоизларнинг турлари бўйича ҳисоб-китоби 
10	Курс фарқини ҳисобга олишнинг жамлаш усули билан чет эл валютасида ифодаланган ҳисобланган фоизлар бўйича манфий курс фарқи акс эттирилган 	3290	6920	Кредит шартномалари, курс фарқини аниқлаш бўйича ҳисоб-китоблар 
11	Курс фарқини ҳисобга олишнинг тўғри усули билан чет эл валютасида ифодаланган ҳисобланган фоизлар бўйича манфий курс фарқи акс эттирилган 	9620	6920	Кредит шартномалари, курс фарқини аниқлаш бўйича ҳисоб-китоблар 
12	Курс фарқини ҳисобга олишнинг жамлаш усули билан чет эл валютасида ифодаланган ҳисобланган фоизлар бўйича мусбат курс фарқи акс эттирилган 	6920	6230	Кредит шартномалари, тўлов топшириқномалари, курс фарқи ҳисоб-китоби 
13	Курс фарқини ҳисобга олишнинг тўғри усули бўйича чет эл валютасида ифодаланган ҳисобланган фоизлар бўйича мусбат курс фарқи акс эттирилган 	6920	9540	Кредит шартномалари, тўлов топшириқномалари, курс фарқи ҳисоб-китоби 
14	Фоизлар бўйича қарзларни тўлаш акс эттирилган 	6920	5110	Банк счётларидан кўчирмалар 
15	Роялти ва гонорарлар бўйича қарзлар ҳисобланган 	9430	6930	Шартнома, қарзларни турлари ва олувчилар бўйича ҳисоблашнинг ҳисоб-китоби 
16	Роялти ва гонорарларни тўлаш акс эттирилган 	6930	5110	Банк кўчирмаси 
17	Кафолатли хизмат кўрсатиш бўйича қарз ҳисобланган 	9410	6940	Чипта, кафолатли хизмат кўрсатиш талони 
18	Кафолатли хизмат кўрсатиш бўйича амалдаги харажатлар ҳисобдан чиқарилган 	6940	1010-1090, 6710, 6990	Чипта, моддий қийматликларни, меҳнат ҳақини ҳисобга олиш қайдномаси 
19	Банкнинг узоқ муддатли кредити бўйича қарзнинг жорий қисми ажратилган 	7810	6950	Қарзни ҳисобдан чиқариш ҳисоб-китоби 
20	Бошқа корхонадан олинган узоқ муддатли қарз бўйича қарзнинг жорий қисми ажратилган 	7820	6950	Қарзни ҳисобдан чиқариш ҳисоб-китоби 
21	Молиявий ижара (лизинг) бўйича қарзнинг жорий қисми ажратилган 	7910	6950	Молиявий ижара (лизинг) бўйича қарзни ҳисобдан чиқариш ҳисоб-китоби 
22	Молиявий ижара (лизинг) бўйича қарз қопланган 	6950	5110	Банк счётларидан кўчирмалар 
23	Узоқ муддатли кредит бўйича қарз қопланган 	6950	5110	Банк счётларидан кўчирмалар 
24	Етказиб берилган ўрнатиладиган асбоб-ускунага оид аниқланган нархларнинг, тарифларнинг номутаносиблиги, счётлардаги янглиш ёзувлар бўйича (тўлов учун қабул қилингандан кейин) даъволар тақдим қилинган 	0710, 0720	6960	Даъво ҳужжатлари, ҳисобварақ-фактура, юкхат 
25	Капитал қурилиш бўйича ҳажмларни ошириш, илгари олинган счётлардаги нархларнинг номутаносиблиги ва арифметик хатолар (тўлов учун қабул қилингандан кейин) натижасида тақдим этилган даъволар бўйича қарз акс эттирилган 	0810-0890	6960	Даъво ҳужжатлари, ҳисобварақ-фактура, юкхат 
26	Илгари олинган асосий воситалар бўйича ҳажмларни ошириш, олинган счётлардаги нархларнинг номутаносиблиги ва арифметик хатолар натижасида тақдим этилган даъволар бўйича қарз акс эттирилган 	0820	6960	Даъво ҳужжатлари, ҳисобварақ-фактура, юкхат 
27	Илгари олинган номоддий активлар бўйича ҳажмларни ошириш, олинган счётлардаги нархларнинг номутаносиблиги ва арифметик хатолар натижасида тақдим этилган даъволар бўйича қарз акс эттирилган 	0830	6960	Даъво ҳужжатлари, ҳисобварақ-фактура, юкхат 
28	Материалларга оид счётлардаги нархларнинг номутаносиблиги ва арифметик хатолар, сифат пастлиги, табиий камайиш меъёрларидан ортиқ камомадлар натижасида (йўлда) тақдим этилган даъволар бўйича қарз акс эттирилган 	1010-1090	6960	Даъво ҳужжатлари, ҳисобварақ-фактура, юкхат 
29	Ҳайвонлар, шунингдек ўстиришдаги ва бўрдоқига боқишдаги ҳайвонлар бўйича счётлардаги (тўлов учун қабул қилингандан ва тўлов олингандан кейин) нархларнинг номутаносиблиги ва арифметик хатолар натижасида тақдим этилган даъволар бўйича қарз акс эттирилган 	1110, 1120	6960	Даъво ҳужжатлари, ҳисобварақ-фактура, юкхат 
30	Етказиб берилган инвентарь ва хўжалик жиҳозлари бўйича, счётлардаги нархларнинг номутаносиблиги ва арифметик хатолар натижасида тақдим этилган даъволар бўйича қарз акс эттирилган 	1080	6960	Даъво ҳужжатлари, ҳисобварақ-фактура, юкхат 
31	1510 "Материалларни тайёрлаш ва харид қилиш" счётидан фойдаланилган ҳолда камомадлар, счётлардаги хатолар, меъёрлардан ортиқ йўқотишлар, сифати юзасидан ва ҳоказолар натижасида тақдим этилган даъволар бўйича қарз акс эттирилган 	1510	6960	Даъво ҳужжатлари, ҳисобварақ-фактура, юкхат 
32	Яроқсизликдан йўқотишлар бўйича қарз акс эттирилган 	2610	6960	Яроқсизлик тўғрисида хабарнома, суд қароридан кўчирма, яроқсизликни баҳолаш қайдномаси 
33	Даъво тариқасида корхонага тақдим этилган асосий ишлаб чиқаришдаги йўқотишлар бўйича қарз акс эттирилган 	2010	6960	Даъво ҳужжатлари 
34	Даъво тариқасида корхонага тақдим этилган ёрдамчи ишлаб чиқаришдаги йўқотишлар бўйича қарз акс эттирилган 	2310	6960	Даъво ҳужжатлари 
35	Даъво тариқасида корхонага тақдим этилган хизмат кўрсатувчи хўжаликлардаги йўқотишлар бўйича қарз акс эттирилган 	2710	6960	Даъво ҳужжатлари 
36	Харид қилинган товарлар суммалари бўйича аниқланган хатолар (цехларда ва ҳ.к.); йўлда белгиланган меъёрлардан ортиқ камайишлар; сифатига номутаносиблиги натижасида тақдим этилган даъволар бўйича қарз акс эттирилган 	2910-2990	6960	Даъво ҳужжатлари 
37	Моддий қийматликларни кирим қилиш пайтида харидорлар томонидан тақдим этилган даъволар бўйича қарз акс эттирилган (хатолар, йўлдаги камомадлар, сифатига номутаносиблиги ва ҳ.к. бўйича) 	9430	6960	Даъво ҳужжатлари, ҳисобварақ-фактура, товар-транспорт юкхати 
38	Шартнома шартлари бажарилмаганлиги натижасида жарима, пеня ва боқимонда суммалари (Хўжалик суди томонидан тан олинган ёки белгиланган миқдорларда) бўйича қарз акс эттирилган 	9430	6960	Тижорат далолатномаси, шартнома, суд қарори 
39	Асосий ишлаб чиқаришга тааллуқли харажатлар учун ҳисобдор шахсларга қарз акс эттирилган 	2010	6970	Бўнак ҳисоботлари
40	Ёрдамчи ишлаб чиқаришга тааллуқли харажатлар учун ҳисобдор шахсларга қарз акс эттирилган 	2310	6970	Бўнак ҳисоботлари
41	Умумишлаб чиқаришга тааллуқли харажатлар учун ҳисобдор шахсларга қарз акс эттирилган 	2510	6970	Бўнак ҳисоботлари
42	Маҳсулот яроқсизлиги муносабати билан (яроқсиз маҳсулотни қайтариш ҳамда олиб келиш ва ҳоказолар) турли харажатларни тўлаш учун ҳисобдор шахсларга қарз акс эттирилган 	2610	6970	Бўнак ҳисоботлари, берилган бўнакларни ҳисобга олувчи қайднома 
43	Хизмат кўрсатувчи хўжаликларга тааллуқли харажатлар учун ҳисобдор шахсларга қарз акс эттирилган 	2710	6970	Бўнак ҳисоботлари
44	Айрим товарларни харид қилганлиги учун ҳисобдор шахсларга қарз акс эттирилган 	2910-2990	6970	Бўнак ҳисоботлари, берилган бўнакларни ҳисобга олиш қайдномаси 
45	Келгуси давр харажатларига тааллуқли харажатлар учун ҳисобдор шахсларга қарз акс эттирилган 	3190	6970	Бўнак ҳисоботлари
46	Маҳсулотни етказиб бериш ва сотиш (транспорт ва ҳоказолар); худди шунинг ўзи савдо ва ҳоказо корхоналарда (турли чиқимлар) харажатлар учун ҳисобдор шахсларга қарз акс эттирилган 	9410	6970	Бўнак ҳисоботлари, берилган бўнакларни ҳисобга олувчи қайднома 
47	Маъмурий мақсадлар билан боғлиқ харажатлар учун ҳисобдор шахсларга қарз акс эттирилган 	9420	6970	Бўнак ҳисоботлари, берилган бўнакларни ҳисобга олувчи қайднома 
48	Табиий офатлар, ёнғинлар ва ҳоказоларнинг олдини олиш ёки оқибатларини бартараф этиш билан боғлиқ турли харажатларни тўлаш учун ҳисобдор шахсларга қарз акс эттирилган 	9720	6970	Буйруқ, инвентарлаш комиссиясининг қарори, бўнак ҳисоботлари 
49	Мақсадли молиялаштириш ва мақсадли тушумлар ҳисобидан турли харидлар ва харажатлар учун ҳисобдор шахсларга қарз акс эттирилган 	8810-8890	6970	Касса ҳисоботлари, банк счётларидан кўчирмалар, бўнак ҳисоботи 
50	Ҳисобдор суммалар бўйича қарз касса орқали тўланган 	6970	5010	Чиқим касса ордери, кассир ҳисоботи 
51	Ҳисобдор суммалар бўйича қарз ҳисоб-китоб счёти орқали қопланган 	6970	5110	Банк ҳисоб-китоб счётларидан кўчирмалар 
52	Ҳисобдор суммалар бўйича қарз махсус ҳисоб-китоб счёти орқали қопланган 	6970	5530	Банк махсус ҳисоб-китоб счётларидан кўчирмалар 
53	Бошқа шахслардан узоқ муддатли қимматли қоғозлар харид қилинган 	0610	6990	Юкхат
54	Ўрнатиладиган асбобускунани етказиб бериш бўйича кўрсатилган хизматлари учун турли кредиторларга қарз акс эттирилган 	0710, 0720	6990	Ҳисобварақ-фактура, юкхат 
55	Капитал қурилиш учун турли ташкилотлар ва корхоналар томонидан хизматлар кўрсатилган 	0810	6990	Ҳисобварақ-фактура, товар-транспорт юкхати 
56	Асосий воситаларни харид қилишда турли ташкилотлар ва корхоналар томонидан хизматлар кўрсатилган (транспорт хизматлари ва ҳ.к.) 	0820	6990	Ҳисобварақ-фактура, товар-транспорт юкхати 
57	Номоддий активларни харид қилиш бўйича хизматлар учун турли кредиторларга қарз акс эттирилган 	0830	6990	Ҳисобварақ-фактура, юкхат 
58	Материалларни харид қилишда турли ташкилотлар ва корхоналар томонидан хизматлар кўрсатилган (транспорт хизматлари ва ҳ.к.) 	1010-1090	6990	Ҳисобварақ-фактура, товар-транспорт юкхати 
59	Ҳайвонларни харид қилишда турли ташкилотлар ва корхоналар томонидан хизматлар кўрсатилган (транспорт хизматлари ва ҳоказолар) 	1110, 1120	6990	Ҳисобварақ-фактура, товар-транспорт юкхати 
60	1510 "Материалларни тайёрлаш ва харид қилиш" счётидан фойдаланилган ҳолда материалларни харид қилишда турли ташкилотлар ва корхоналар томонидан хизматлар кўрсатилган (транспорт хизматлари ва ҳ.к.) 	1510	6990	Ҳисобварақ-фактура, товар-транспорт юкхати 
61	Асосий ишлаб чиқариш учун турли ташкилотлар ва корхоналар томонидан хизматлар кўрсатилган (транспорт хизматлари ва ҳ.к.) 	2010	6990	Ҳисобварақ-фактура, товар-транспорт юкхати 
62	Ёрдамчи ишлаб чиқариш учун турли ташкилотлар ва корхоналар томонидан хизматлар кўрсатилган (транспорт хизматлари ва ҳ.к.) 	2310	6990	Ҳисобварақ-фактура, товар-транспорт юкхати 
63	Умумишлаб чиқариш эҳтиёжлари учун турли ташкилотлар ва корхоналар томонидан хизматлар кўрсатилган (транспорт хизматлари ва ҳоказолар) 	2510	6990	Ҳисобварақ-фактура, товар-транспорт юкхати 
64	Яроқсизликни тузатиш учун турли ташкилотлар ва корхоналар томонидан хизматлар кўрсатилган (транспорт хизматлари ва ҳ.к.) 	2610	6990	Ҳисобварақ-фактура, товар-транспорт юкхати 
65	Хизмат кўрсатувчи хўжаликлар учун турли ташкилотлар ва корхоналар томонидан хизматлар кўрсатилган (транспорт хизматлари ва ҳ.к.) 	2710	6990	Ҳисобварақ-фактура, товар-транспорт юкхати 
66	Товарларни харид қилишда турли ташкилотлар ва корхоналар томонидан хизматлар кўрсатилган (транспорт хизматлари ва ҳ.к.) 	2910, 2990	6990	Ҳисобварақ-фактура, товар-транспорт юкхати 
67	Товарларни харид қилишда турли ташкилотлар ва корхоналар томонидан келгуси давр харажатларига киритиладиган хизматлар кўрсатилган (транспорт хизматлари ва ҳ.к.) 	3190	6990	Ҳисобварақ-фактура, товар-транспорт юкхати 
68	Бошқа шахслардан пул эквивалентлари келиб тушиши акс эттирилган 	5610	6990	Юкхат 
69	Бошқа шахслардан пул ўтказмалари келиб тушиши акс эттирилган 	5710	6990	Юкхат 
70	Бошқа шахслардан қисқа муддатли қимматли қоғозлар харид қилинган 	5810	6990	Юкхат 
71	Меҳнат ҳақидан хонадонда истиқомат қилганлиги ва коммунал хизматлари учун тўловлар; ижро варақалари бўйича ушлаб қолинган тўловлар суммалари акс эттирилган 	6710	6990	Ҳисобланган меҳнат ҳақидан ушлаб қолишларни ҳисобга олиш қайдномаси, ижро варақалари 
72	Асосий воситалар чиқиб кетишида турли ташкилотлар ва корхоналар томонидан хизматлар кўрсатилган (транспорт хизматлари ва ҳ.к.) 	9210	6990	Ҳисобварақ-фактура, товар-транспорт юкхати 
