1	Отражена сумма дисконта при покупке долгосрочных облигаций со скидкой	0610	7210, 5110- 5530   	Облигационное соглашение, справка-расчет бухгалтерии
2	Отражена сумма дисконта при покупке краткосрочных облигаций со скидкой	5810	6210	Облигационное соглашение, справка-расчет бухгалтерии   
3	Отражен перевод из долгосрочной части отсроченного дисконта в текущую часть   	7210	6210	Справка-расчет бухгалтерии
4	Отражена сумма премии при продаже облигаций с премией  	5110- 5530	7220	Справка-расчет бухгалтерии 
5	Списана долгосрочная часть отсроченной премии в текущую часть 	7220	6220	Справка-расчет бухгалтерии
6	Отражена отрицательная курсовая разница по прочим долгосрочным отсроченным доходам, выраженным в иностранной валюте, по методу накопления   	3290	7230	Справка-расчет бухгалтерии
7	Отражена отрицательная курсовая разница по прочим отсроченным доходам, выраженным в иностранной валюте, по методу прямого отнесения    	9620	7230	Справка-расчет бухгалтерии
8	Поступление денежных средств за поставляемые ТМЦ, оказываемые услуги, выполняемые работы в будущем   	5110	7230	Выписки со счетов банка, договор
9	Поступление валютных средств за поставляемые ТМЦ, оказываемые услуги, выполняемые работы в будущем   	5210, 5220	7230	Выписки со счетов банка, договор
10	Поступление средств на специальные счета в банках за поставляемые ТМЦ, оказываемые услуги, выполняемые работы в будущем   	5530	7230	Выписки со счетов банка, договор
11	Отражена положительная валютная курсовая разница по прочим отсроченным доходам, выраженным в иностранной валюте, по методу накопления   	7230	7231	Справка-расчет бухгалтерии
12	Отражена положительная валютная курсовая разница по прочим отсроченным доходам, выраженным в иностранной валюте, по методу прямого отнесения   	7230	9540	Справка-расчет бухгалтерии
13	Включение отсроченного дохода в доходы по мере реализации готовой продукции   	7230	9010	Счет-фактура, накладная
14	Отражен перевод долгосрочной части отсроченных доходов в текущую часть   	7230	6230	Расчет бухгалтерии
15	Включение отсроченного дохода в доходы по мере реализации товаров   	7230	9020	Счет-фактура, накладная
16	Включение отсроченного дохода в доходы по мере реализации услуг и работ   	7230	9030	Счет-фактура, акт выполненных услуг, работ
17	Отражена отрицательная курсовая разница по отсроченным доходам, выраженным в иностранной валюте, по методу накопления  	3290	7290	Справка-расчет бухгалтерии
18	Отражены отсроченные обязательства по налогам, выплату которых разрешается отсрочить по решению уполномоченных правительственных органов в соответствии с законодательством   	6410	7240	Справка-расчет бухгалтерии
19	Отражены отсроченные обязательства по платежам в государственные целевые фонды, выплату которых разрешается отсрочить по решению уполномоченных правительственных органов в соответствии с законодательством 	6520	7240	Справка-расчет бухгалтерии
20	Списана текущая часть долгосрочных отсроченных обязательств по налогам и обязательным платежам в отчетный период для выплаты в бюджет   	7240	6240	Расчет списания
21	Отражены обязательства по отсроченному налогу на прибыль по временным разницам    	9810	7250	Справка-расчет бухгалтерии
22	Отражен перевод текущей части долгосрочных обязательств по отсроченному налогу на прибыль по временным разницам        	7250	6250	Справка-расчет бухгалтерии
