1	Узоқ муддатли облигациялар чегирма билан харид қилинганда дисконт суммаси акс эттирилган 	0610	7210, 5110-5530	Облигация келишуви, бухгалтериянинг ҳисоб-китоб маълумотномаси 
2	Қисқа муддатли облигациялар чегирма билан харид қилинганда дисконт суммаси акс эттирилган 	5810	6210	Облигация келишуви, бухгалтериянинг ҳисоб-китоб маълумотномаси 
3	Кечиктирилган дисконтнинг узоқ муддатли қисмдан жорий қисмга ўтказилиши акс эттирилган 	7210	6210	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
4	Облигациялар мукофот билан сотилганда мукофот суммаси акс эттирилган 	5110-5530	7220	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
5	Кечиктирилган мукофотнинг узоқ муддатли қисми жорий қисмга ҳисобдан чиқарилган 	7220	6220	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
6	Курс фарқини ҳисобга олишнинг жамлаш усули билан чет эл валютасида ифодаланган бошқа кечиктирилган узоқ муддатли даромадлар бўйича манфий курс фарқи акс эттирилган 	3290	7230	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
7	Курс фарқини ҳисобга олишнинг тўғри усули билан чет эл валютасида ифодаланган бошқа кечиктирилган даромадлар бўйича манфий курс фарқи акс эттирилган 	9620	7230	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
8	Келгусида товар-моддий қийматликларни етказиб бериш, хизматларни кўрсатиш ва ишларни бажариш учун пул маблағларининг келиб тушиши 	5110	7230	Банк ҳисоб-китоб счётларидан кўчирмалар, шартнома 
9	Келгусида товар-моддий қийматликларни етказиб бериш, хизматларни кўрсатиш ва ишларни бажариш учун валюта маблағларининг келиб тушиши 	5210, 5220	7230	Банк ҳисоб-китоб счётларидан кўчирмалар, шартнома 
10	Келгусида товар-моддий қийматликларни етказиб бериш, хизматларни кўрсатиш ва ишларни бажариш учун банклардаги махсус ҳисоб-китоб счётларига пул маблағларининг келиб тушиши 	5530	7230	Банк ҳисоб-китоб счётларидан кўчирмалар, шартнома 
11	Курс фарқини ҳисобга олишнинг жамлаш усули билан чет эл валютасида ифодаланган бошқа кечиктирилган даромадлар бўйича валютадаги мусбат курс фарқи акс эттирилган 	7230	7231	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
12	Курс фарқини ҳисобга олишнинг тўғри усули билан чет эл валютасида ифодаланган бошқа кечиктирилган даромадлар бўйича валютадаги мусбат курс фарқи акс эттирилган 	7230	9540	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
13	Тайёр маҳсулот сотилиши давомида кечиктирилган даромад даромадлар таркибига киритилган 	7230	9010	Ҳисобварақ-фактура, юкхат 
14	Кечиктирилган даромадлар узоқ муддатли қисмининг жорий қисмга ўтказилиши акс эттирилган 	7230	6230	Бухгалтериянинг ҳисоб-китоби 
15	Товарлар сотилиши давомида кечиктирилган даромад даромадлар таркибига киритилган 	7230	9020	Ҳисобварақ-фактура, юкхат 
16	Ишлар бажарилиши ва хизматлар кўрсатилиши давомида кечиктирилган даромад даромадлар таркибига киритилган 	7230	9030	Ҳисобварақ-фактура, ишлар бажарилганлиги ва хизматлар кўрсатилганлиги далолатномаси 
17	Курс фарқини ҳисобга олишнинг жамлаш усули билан чет эл валютасида ифодаланган кечиктирилган даромадлар бўйича манфий курс фарқи акс эттирилган 	3290	7290	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
18	Қонун ҳужжатларига мувофиқ ваколатли ҳокимият органларининг қарорига биноан тўлаш муддатини кечиктиришга рухсат этилган муддати кечиктирилган солиқлар бўйича мажбуриятлар акс эттирилган 	6410	7240	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
19	Қонун ҳужжатларига мувофиқ ваколатли ҳокимият органларининг қарорига биноан тўлаш муддатини кечиктиришга рухсат этилган мақсадли давлат жамғармаларига тўловлар бўйича кечиктирилган мажбуриятлар акс эттирилган 	6520	7240	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
20	Ҳисобот даврида бюджетга тўланадиган солиқлар ва мажбурий тўловлар бўйича узоқ муддатли кечиктирилган мажбуриятларнинг жорий қисми ҳисобдан чиқарилган 	7240	6240	Ҳисобдан чиқаришнинг ҳисоб-китоби 
21	Вақтинчалик фарқлар бўйича кечиктирилган фойда солиғи бўйича мажбуриятлар акс эттирилган 	9810	7250	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
22	Вақтинчалик фарқлар бўйича кечиктирилган фойда солиғи бўйича узоқ муддатли мажбуриятларнинг жорий қисмга ўтказилиши акс эттирилган 	7250	6250	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
