1	Асосий воситаларнинг қийматини ошириш натижасида резерв капитали оширилган 	0110-0199	8510	Қийматни ошириш тўғрисида қарор, бухгалтериянинг ҳисоб-китоби 
2	Молиявий ижара (лизинг) шартномаси бўйича олинган асосий воситаларнинг қийматини ошириш натижасида резерв капитали оширилган 	0310	8510	Қийматни ошириш тўғрисида қарор, бухгалтериянинг ҳисоб-китоби
3	Номоддий активларнинг қийматини ошириш натижасида резерв капитали оширилган 	0410-0490	8510	Қийматни ошириш тўғрисида қарор, бухгалтериянинг ҳисоб-китоби 
4	Узоқ муддатли инвестицияларнинг қийматини ошириш натижасида резерв капитали оширилган 	0610-0690	8510	Қийматни ошириш тўғрисида қарор, бухгалтериянинг ҳисоб-китоби 
5	Ўрнатиладиган асбоб-ускунанинг қийматини ошириш натижасида резерв капитали оширилган 	0710-0720	8510	Қийматни ошириш тўғрисида қарор, бухгалтериянинг ҳисоб-китоби
6	Тугалланмаган қурилиш ва капитал қўйилмаларнинг қийматини ошириш натижасида резерв капитали оширилган 	0810-0890	8510	Қийматни ошириш тўғрисида қарор, бухгалтериянинг ҳисоб-китоби 
7	Илгари қайта баҳолашдан қўшимча баҳоланган сумма чегарасида асосий воситаларнинг қиймати пасайтирилиши натижасида резерв капитали камайтирилган 	8510	0110-0199	Қийматни ошириш тўғрисида қарор, бухгалтериянинг ҳисоб-китоби 
8	Илгари қайта баҳолашдан қўшимча баҳоланган сумма чегарасида молиявий ижара (лизинг) шартномаси бўйича олинган асосий воситаларнинг қиймати пасайтирилиши натижасида резерв капитали камайтирилган 	8510	0310	Қийматни пасайтириш тўғрисида қарор, бухгалтериянинг ҳисоб-китоби 
9	Илгари қайта баҳолашдан қўшимча баҳоланган сумма чегарасида номоддий активларнинг қиймати пасайтирилиши натижасида резерв капитали камайтирилган 	8510	0410-0490	Қийматни пасайтириш тўғрисида қарор, бухгалтериянинг ҳисоб-китоби 
10	Илгари қайта баҳолашдан қўшимча баҳоланган сумма чегарасида узоқ муддатли инвестицияларнинг қиймати пасайтирилиши натижасида резерв капитали камайтирилган 	8510	0610-0690	Қийматни пасайтириш тўғрисида қарор, бухгалтериянинг ҳисоб-китоби 
11	Илгари қайта баҳолашдан қўшимча баҳоланган сумма чегарасида ўрнатиладиган асбоб-ускуналарнинг қиймати пасайтирилиши натижасида резерв капитали камайтирилган 	8510	0710-0720	Қийматни пасайтириш тўғрисида қарор, бухгалтериянинг ҳисоб-китоби 
