1	Отражена себестоимость отгруженной готовой продукции   	9110	2810	Счет-фактура, расчет себестоимости
2	Отражено выбытие животных на сторону или некоторым внутренним подразделениям   	9110	1110	Акт приема-передачи, накладная
3	Списаны отгруженные на сторону полуфабрикаты собственного производства   	9110	2110	Накладная
4	Готовая продукция передана другим предприятиям в порядке долгосрочных инвестиций (погашение стоимости приобретенных ценных бумаг)   	9110 (0610	2810 9010)	Договор, счет-фактура, накладная
5	Готовая продукция передана другим предприятиям в порядке краткосрочных финансовых вложений (в том числе приобретенные ценные бумаги) 	9110 (5810	2810 9010)	Договор, счет-фактура, накладная
6	Отражена стоимость продукции, переданной безвозмездно другим предприятиям, школам, учебным заведениям и т. п., на сумму НДС, акциза 	9110 (9430 9430	2810 9110) 6410	Договор, счет-фактура, накладная
7	Товары переданы другим предприятиям в порядке долгосрочных финансовых инвестиций (погашение стоимости приобретенных ценных бумаг)   	9120 (0610- 0690	2910 9020)	Акт приема-передачи, накладная
8	Товары переданы другим предприятиям в порядке краткосрочных финансовых вложений (в погашение стоимости приобретенных у них ценных бумаг)  	9120 (5810	2910 9020)	Акт приема-передачи, накладная
9	Закрытие по окончании месяца счета 9110 "Себестоимость реализованной готовой продукции"   	9910	9110	Справка-расчет бухгалтерии
10	Закрытие по окончании месяца счета 9120 "Себестоимость реализованных товаров"  	9910	9120	Справка-расчет бухгалтерии
11	Закрытие по окончании месяца счета 9130 "Себестоимость выполненных работ и оказанных услуг 	9910	9130	Справка-расчет бухгалтерии
12	Реализованы различные услуги (учитываемые минуя счет 2810) цехов основного, вспомогательных производств и обслуживающих хозяйств   	9130	2010, 2310, 2710	Акт выполненных работ, накладная
13	Списана себестоимость оказанных услуг   	9130	2010	Акт выполненных работ, накладная
14	Списаны затраты по законченным этапам работ   	9130	2010	Акт выполненных работ
15	Приобретены за наличные товарно-материальные запасы методом периодического учета ТМЗ   	9140	5010	Расходный кассовый ордер, счет-фактура, накладная
16	Приобретены товарно-материальные запасы от поставщиков и подрядчиков методом периодического учета ТМЗ   	9140	6010	Счет-фактура, накладная
17	Приобретены товарно-материальные запасы от поставщиков и подрядчиков через подотчетных лиц методом периодического учета ТМЗ   	9140	4220, 4230	Авансовый отчет, счет-фактура, накладная
18	Учтены расходы по приобретению товарно-материальных запасов, расходы по доставке от прочих кредиторов методом периодического учета ТМЗ   	9140	6990	Счет-фактура, накладная
19	Учтены расходы по доставке материалов собственными силами   	9140	2310	Акт выполненных работ
20	Начислена заработная плата грузчикам по разгрузке материалов   	9140	6710	Ведомость начисленной зарплаты
21	Начислен единый социальный платеж от заработной платы грузчиков  	9140	6520	Расчет бухгалтерии
22	Оприходованы товарно-материальные ценности, полученные от обособленных подразделений, дочерних и зависимых хозяйственных обществ    	9140	6110, 6120	Накладная
23	Произведена корректировка остатков по счетам ТМЗ по итогам инвентаризации основных материальных запасов в конце отчетного периода: 			Расчет бухгалтерии
	- прирост запасов	1010- 1090 	9150	
	- уменьшение запасов	9150	1010- 1090 	
24	Произведена корректировка остатков незавершенного производства по итогам инвентаризации в конце отчетного периода: 			Расчет бухгалтерии
	- прирост	2010 	9150	
	- уменьшение	9150 	2010	
25	Произведена корректировка остатков готовой продукции по итогам инвентаризации в конце отчетного периода: 			Расчет бухгалтерии
	- прирост	2810 	9150	
	- уменьшение	9150   	2810	
26	Произведена корректировка остатков товаров по итогам инвентаризации в конце отчетного периода: 			Расчет бухгалтерии
	- прирост	2910- 2990 	9150	
	- уменьшение	9150 	2910- 2990 	
27	Закрытие в конце отчетного периода счета 9140 "Приобретение/покупка ТМЗ при периодическом учете" 	9910	9140	Расчет бухгалтерии
28	Закрытие в конце отчетного периода счета 9150 "Корректировки по ТМЗ при периодическом учете"  	9910 (9150	9150 9910)	Расчет бухгалтерии
29	Списаны отгруженные на сторону полуфабрикаты собственного производства   	9110	2110	Накладная
30	Готовая продукция передана другим предприятиям в порядке долгосрочных инвестиций (погашение стоимости приобретенных ценных бумаг)   	9110 (0610	2810 9010)	Договор, счет-фактура, накладная
31	Готовая продукция передана другим предприятиям в порядке краткосрочных финансовых вложений (в том числе приобретенные ценные бумаги) 	9110 (5810	2810 9010)	Договор, счет-фактура, накладная
32	Отражена стоимость продукции, переданной безвозмездно другим предприятиям, школам, учебным заведениям и т. п., на сумму НДС, акциза 	9110 (9430 9430	2810 9110) 6410	Договор, счет-фактура, накладная
