1	Ортиб жўнатилган тайёр маҳсулот таннархи акс эттирилган 	9110	2810	Ҳисобварақ-фактура, таннархнинг ҳисоб-китоби
2	Ҳайвонларнинг четга ёки айрим ички бўлинмаларга чиқиб кетиши акс эттирилган 	9110	1110	Қабул қилиш-топшириш далолатномаси, юкхат 
3	Четга ортиб жўнатилган ўзида ишлаб чиқарилган ярим тайёр маҳсулотлар ҳисобдан чиқарилган 	9110	2110	Юкхат
4	Тайёр маҳсулот узоқ муддатли инвестициялар тартибида бошқа корхоналарга берилган (сотиб олинган қимматли қоғозлар қиймати қопланган) 	9110 (0610	2810 9010)	Шартнома, ҳисобварақ-фактура, юкхат 
5	Тайёр маҳсулот қисқа муддатли молиявий қўйилмалар тартибида бошқа корхоналарга берилган (жумладан, сотиб олинган қимматли қоғозлар) 	9110 (5810	2810 9010)	Шартнома, ҳисобварақ-фактура, юкхат 
6	Бошқа корхоналарга, мактабларга, ўқув муассасаларига ва ҳоказоларга ҚҚС, акциз суммасига текинга берилган маҳсулот қиймати акс эттирилган 	9110 (9430 9430	2810 9110) 6410	Шартнома, ҳисобварақ-фактура, юкхат 
7	Товарлар бошқа корхоналарга узоқ муддатли молиявий инвестициялар тартибида берилган (сотиб олинган қимматли қоғозлар қиймати қопланган) 	9120 (0610- 0690	2910 9020)	Қабул қилиш-топшириш далолатномаси, юкхат 
8	Товарлар бошқа корхоналарга қисқа муддатли молиявий қўйилмалар тартибида берилган (улардан сотиб олинган қимматли қоғозлар қиймати қопланган) 	9120 (5810	2910 9020)	Қабул қилиш-топшириш далолатномаси, юкхат 
9	Ой якунлангандан кейин 9110 "Сотилган тайёр маҳсулотларнинг таннархи" счётининг ёпилиши 	9910	9110	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
10	Ой якунлангандан кейин 9120 "Сотилган товарларнинг таннархи" счётининг ёпилиши 	9910	9120	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
11	Ой якунлангандан кейин 9130 "Бажарилган ишлар ва кўрсатилган хизматларнинг таннархи" счётининг ёпилиши 	9910	9130	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
12	Асосий, ёрдамчи ишлаб чиқаришларнинг ва хизмат кўрсатувчи хўжаликларнинг турли хизматлари сотилган (2810 "Омбордаги тайёр маҳсулотлар" счётидан фойдаланмасдан ҳисобга олинган ҳолда) 	9130	2010, 2310, 2710	Бажарилган ишлар далолатномаси, юкхат 
13	Кўрсатилган хизматларнинг таннархи ҳисобдан чиқарилган 	9130	2010	Бажарилган ишлар далолатномаси, юкхат 
14	Ишларнинг бажарилган босқичлари бўйича харажатлар ҳисобдан чиқарилган 	9130	2010	Бажарилган ишлар далолатномаси 
15	Товар-моддий захиралар ТМЗларни даврий ҳисобга олиш усули бўйича нақд пулга сотиб олинган 	9140	5010	Чиқим касса ордери, ҳисобварақ-фактура, юкхат 
16	Товар-моддий захиралар ТМЗларни даврий ҳисобга олиш усули бўйича мол етказиб берувчилар ва пудратчилардан сотиб олинган 	9140	6010	Ҳисобварақ-фактура, юкхат 
17	Товар-моддий захиралар ТМЗларни даврий ҳисобга олиш усули бўйича ҳисобдор шахслар орқали мол етказиб берувчилар ва пудратчилардан сотиб олинган 	9140	4220, 4230	Бўнак ҳисоботи, ҳисобварақ-фактура, юкхат 
18	Бошқа кредиторлардан товар-моддий захиралар сотиб олиш бўйича харажатлар, етказиб бериш бўйича харажатлар ТМЗларни даврий ҳисобга олиш усули орқали ҳисобга олинган 	9140	6990	Ҳисобварақ-фактура, юкхат 
19	Материалларни ўз кучи билан олиб келиш бўйича харажатлар ҳисобга олинган 	9140	2310	Бажарилган ишлар далолатномаси 
20	Материалларни ортиб туширувчи ишчиларга меҳнат ҳақи ҳисобланган 	9140	6710	Меҳнат ҳақини ҳисоблаш қайдномаси 
21	Ортиб туширувчи ишчиларнинг меҳнат ҳақидан ягона ижтимоий тўлов ҳисобланган 	9140	6520	Бухгалтериянинг ҳисоб-китоби 
22	Ажратилган бўлинмалар, шуъба ва қарам хўжалик жамиятларидан товармоддий қийматликлар кирим қилинган 	9140	6110, 6120	Юкхат
23	Ҳисобот даврининг охирида асосий моддий захираларни инвентарлаш натижаларига кўра, ТМЗларнинг счётлари бўйича қолдиқлар тузатилиши амалга оширилган: 			Бухгалтериянинг ҳисоб-китоби 
	- захираларнинг кўпайиши 	1010-1090	9150	
	- захираларнинг камайиши 	9150	1010-1090	
24	Ҳисобот даврининг охирида инвентарлаш натижаларига кўра, якунланмаган ишлаб чиқариш қолдиқлари тузатилиши амалга оширилган: 			Бухгалтериянинг ҳисоб-китоби
	- кўпайиши 	2010	9150	
	- камайиши 	9150	2010	
25	Ҳисобот даврининг охирида инвентарлаш натижаларига кўра, тайёр маҳсулот қолдиқлари тузатилиши амалга оширилган: 			Бухгалтериянинг ҳисоб-китоби
	- кўпайиши 	2810	9150	
	- камайиши 	9150	2810	
26	Ҳисобот даврининг охирида инвентарлаш натижаларига кўра, товарлар қолдиқлари тузатилиши амалга оширилган: 			Бухгалтериянинг ҳисоб-китоби 
	- кўпайиши 	2910-2990	9150	
	- камайиши 	9150	2910-2990	
27	Ҳисобот даврининг охирида 9140 "Даврий ҳисобда ТМЗ сотиб олиш/ харид қилиш" счётининг ёпилиши 	9910	9140	Бухгалтериянинг ҳисоб-китоби 
28	Ҳисобот даврининг охирида 9150 "Даврий ҳисобда ТМЗ бўйича тузатишлар" счётининг ёпилиши 	9910 (9150	9150 9910)	Бухгалтериянинг ҳисоб-китоби 
29	Четга ортиб жўнатилган ўзида ишлаб чиқарилган ярим тайёр маҳсулотлар ҳисобдан чиқарилган 	9110	2110	Юкхат
30	Тайёр маҳсулот узоқ муддатли инвестициялар тартибида бошқа корхоналарга берилган (сотиб олинган қимматли қоғозлар қиймати қопланган) 	9110 (0610	2810 9010)	Шартнома, ҳисобварақ-фактура, юкхат 
31	Тайёр маҳсулот қисқа муддатли молиявий қўйилмалар тартибида бошқа корхоналарга берилган (жумладан, сотиб олинган қимматли қоғозлар) 	9110 (5810	2810 9010)	Шартнома, ҳисобварақ-фактура, юкхат 
32	Бошқа корхоналарга, мактабларга, ўқув муассасаларига ва ҳоказоларга ҚҚС, акциз суммасига текинга берилган маҳсулот қиймати акс эттирилган 	9110 (9430 9430	2810 9110) 6410	Шартнома, ҳисобварақ-фактура, юкхат 
