1	Ortib jo‘natilgan tayyor mahsulot tannarxi aks ettirilgan 	9110	2810	Hisobvaraq-faktura, tannarxning hisob-kitobi
2	Hayvonlarning chetga yoki ayrim ichki bo‘linmalarga chiqib ketishi aks ettirilgan 	9110	1110	Qabul qilish-topshirish dalolatnomasi, yukxat 
3	Chetga ortib jo‘natilgan o‘zida ishlab chiqarilgan yarim tayyor mahsulotlar hisobdan chiqarilgan 	9110	2110	Yukxat
4	Tayyor mahsulot uzoq muddatli investisiyalar tartibida boshqa korxonalarga berilgan (sotib olingan qimmatli qog‘ozlar qiymati qoplangan) 	9110 (0610	2810 9010)	Shartnoma, hisobvaraq-faktura, yukxat 
5	Tayyor mahsulot qisqa muddatli moliyaviy qo‘yilmalar tartibida boshqa korxonalarga berilgan (jumladan, sotib olingan qimmatli qog‘ozlar) 	9110 (5810	2810 9010)	Shartnoma, hisobvaraq-faktura, yukxat 
6	Boshqa korxonalarga, maktablarga, o‘quv muassasalariga va hokazolarga QQS, aksiz summasiga tekinga berilgan mahsulot qiymati aks ettirilgan 	9110 (9430 9430	2810 9110) 6410	Shartnoma, hisobvaraq-faktura, yukxat 
7	Tovarlar boshqa korxonalarga uzoq muddatli moliyaviy investisiyalar tartibida berilgan (sotib olingan qimmatli qog‘ozlar qiymati qoplangan) 	9120 (0610- 0690	2910 9020)	Qabul qilish-topshirish dalolatnomasi, yukxat 
8	Tovarlar boshqa korxonalarga qisqa muddatli moliyaviy qo‘yilmalar tartibida berilgan (ulardan sotib olingan qimmatli qog‘ozlar qiymati qoplangan) 	9120 (5810	2910 9020)	Qabul qilish-topshirish dalolatnomasi, yukxat 
9	Oy yakunlangandan keyin 9110 "Sotilgan tayyor mahsulotlarning tannarxi" schyotining yopilishi 	9910	9110	Buxgalteriyaning hisob-kitob ma’lumotnomasi 
10	Oy yakunlangandan keyin 9120 "Sotilgan tovarlarning tannarxi" schyotining yopilishi 	9910	9120	Buxgalteriyaning hisob-kitob ma’lumotnomasi 
11	Oy yakunlangandan keyin 9130 "Bajarilgan ishlar va ko‘rsatilgan xizmatlarning tannarxi" schyotining yopilishi 	9910	9130	Buxgalteriyaning hisob-kitob ma’lumotnomasi 
