1	Оприходовано оборудование при ликвидации последствий стихийных бедствий    	0710-0720	9710	Акт ликвидации стихийных бедствий, акт инвентаризации
2	Оприходованы годные материалы при ликвидации последствий стихийных бедствий	1010-1090	9710	Акт ликвидации стихийных бедствий, акт инвентаризации
3	Оприходованы товары, ранее списанные из-за стихийных бедствий, пожаров и т. п. (в торговых, посреднических и т. п. предприятиях)    	2910	9710	Акт ликвидации стихийных бедствий, акт инвентаризации
4	Отражены недостачи оборудования и незавершенного строительства, выявленные при инвентаризации после стихийных бедствий   	9720	0710-0720, 0810	Акт ликвидации стихийных бедствий, акт инвентаризации
5	Списаны различные материальные ценности, потерянные при стихийных бедствиях или израсходованные при ликвидации их последствий   	9720	1010-1090, 1110 и т. п.	Акт ликвидации стихийных бедствий, акт инвентаризации
6	Отражены потери незавершенного производства из-за стихийных бедствий, пожаров и т. п.     	9720	2010, 2110, 2310	Акт ликвидации стихийных бедствий, акт инвентаризации
7	Списаны убытки обслуживающих производств от стихийных бедствий     	9720	2710	Акт ликвидации стихийных бедствий, акт инвентаризации
8	Расходы будущих периодов списаны при стихийных бедствиях	9720	3110-3190	Акт ликвидации стихийных бедствий, акт инвентаризации
9	Отражены потери готовой продукции или товаров в результате стихийных бедствий, пожаров, аварий и т. п.  	9720	2810, 2910-2990  	Акт ликвидации стихийных бедствий, акт инвентаризации
10	Уплачены расходы по стихийным бедствиям	9720	5010, 5110, 5210   	Акт ликвидации стихийных бедствий, акт инвентаризации
11	Начислена оплата труда работникам, связанным с предотвращением или ликвидацией стихийных бедствий, пожаров и т. п. 	9720	6710	Акт ликвидации стихийных бедствий, акт инвентаризации, ведомость начисления заработной платы
12	Отражена задолженность подотчетным лицам, оплатившим разные расходы, связанные со стихийными бедствиями, пожарами, авариями и т. п.  	9720	6970	Акт ликвидации стихийных бедствий, акт инвентаризации, авансовый отчет
13	Отражена стоимость товарно-материальных запасов, уничтоженных пожаром и не компенсированных страховыми и иными организациями   	9720	9220	Акт ликвидации стихийных бедствий, акт инвентаризации
14	Отражены суммы различных убытков, относимые за счет прибыли внутренних подразделений, выделенных на отдельный баланс из-за стихийных бедствий, пожаров и т. п.   	9720	4110	Акт ликвидации стихийных бедствий, акт инвентаризации
15	Закрытие по окончании отчетного периода счета 9710 "Чрезвычайные прибыли"   	9710	9910	Расчет бухгалтерии
16	Закрытие по окончании отчетного периода счета 9720 "Чрезвычайные убытки"   	9910	9720	Расчет бухгалтерии
17	Оприходованы годные материалы при ликвидации последствий стихийных бедствий	1010-1090	9710	Акт ликвидации стихийных бедствий, акт инвентаризации
18	Оприходованы товары, ранее списанные из-за стихийных бедствий, пожаров и т. п. (в торговых, посреднических и т. п. предприятиях)    	2910	9710	Акт ликвидации стихийных бедствий, акт инвентаризации
19	Отражены недостачи оборудования и незавершенного строительства, выявленные при инвентаризации после стихийных бедствий   	9720	0710-0720, 0810	Акт ликвидации стихийных бедствий, акт инвентаризации
20	Списаны различные материальные ценности, потерянные при стихийных бедствиях или израсходованные при ликвидации их последствий   	9720	1010-1090, 1110 и т. п.	Акт ликвидации стихийных бедствий, акт инвентаризации
21	Отражены потери незавершенного производства из-за стихийных бедствий, пожаров и т. п.     	9720	2010, 2110, 2310	Акт ликвидации стихийных бедствий, акт инвентаризации
22	Списаны убытки обслуживающих производств от стихийных бедствий     	9720	2710	Акт ликвидации стихийных бедствий, акт инвентаризации
