1	Табиий офатлар оқибатларини бартараф этишда асбоб-ускуналар кирим қилинган 	0710-0720	9710	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси
2	Табиий офатлар оқибатларини бартараф этишда яроқли материаллар кирим қилинган 	1010-1090	9710	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
3	Илгари табиий офатлар, ёнғинлар ва ҳоказолар оқибатида ҳисобдан чиқарилган товарлар кирим қилинган (савдо, воситачи ва ҳоказо корхоналарда) 	2910	9710	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
4	Табиий офатлардан кейин инвентарлаш натижасида асбоб-ускуна ва якунланмаган қурилиш бўйича аниқланган камомадлар акс эттирилган	9720	0710-0720, 0810	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
5	Табиий офатлар пайтида йўқотилган ёки уларнинг оқибатларини бартараф этишда сарфхаражат қилинган турли моддий қийматликлар ҳисобдан чиқарилган 	9720	1010-1090, 1110 ва б. 	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
6	Табиий офатлар, ёнғинлар ва ҳ.к. оқибатида тугалланмаган ишлаб чиқариш бўйича йўқотишлар акс эттирилган 	9720	2010, 2110, 2310	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
7	Табиий офатлар оқибатида хизмат кўрсатувчи ишлаб чиқаришлар томонидан кўрилган зарарлар ҳисобдан чиқарилган 	9720	2710	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
8	Табиий офатлар пайтида келгуси давр харажатлари ҳисобдан чиқарилган 	9720	3110-3190	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
9	Табиий офатлар, ёнғинлар, ҳалокатлар ва ҳоказолар оқибатида тайёр маҳсулот ёки товарлар йўқотилиши акс эттирилган 	9720	2810, 2910-2990 	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
10	Табиий офатлар бўйича харажатлар тўланган 	9720 	5010, 5110, 5210 	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
11	Табиий офатлар, ёнғинлар ва ҳоказоларнинг олдини олиш ёки бартараф этиш билан боғлиқ ходимларга меҳнат ҳақи ҳисобланган 	9720	6710	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси, меҳнат ҳақини ҳисоблаш қайдномаси 
12	Табиий офатлар, ёнғинлар, ҳалокатлар ва ҳоказолар билан боғлиқ турли харажатлар учун тўловни амалга оширган ҳисобдор шахслар олдидаги қарз акс эттирилган 	9720	6970	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси, бўнак ҳисоботи 
13	Ёнғин натижасида нобуд бўлган ҳамда суғурта ва бошқа ташкилотлар томонидан қопланмаган товар-моддий захираларнинг қиймати акс эттирилган 	9720	9220	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
14	Табиий офатлар, ёнғинлар ва ҳоказолар оқибатида алоҳида балансга ажратилган ички бўлинмаларнинг фойдаси ҳисобидан турли зарарлар суммаси акс эттирилган 	9720	4110	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
15	Ҳисобот даври якунлангандан кейин 9710 "Фавқулоддаги фойдалар" счёти ёпилган 	9710	9910	Бухгалтериянинг ҳисоб-китоби 
16	Ҳисобот даври якунлангандан кейин 9720 "Фавқулоддаги зарарлар" счёти ёпилган 	9910	9720	Бухгалтериянинг ҳисоб-китоби 
17	Табиий офатлар оқибатларини бартараф этишда яроқли материаллар кирим қилинган 	1010-1090	9710	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
18	Илгари табиий офатлар, ёнғинлар ва ҳоказолар оқибатида ҳисобдан чиқарилган товарлар кирим қилинган (савдо, воситачи ва ҳоказо корхоналарда) 	2910	9710	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
19	Табиий офатлардан кейин инвентарлаш натижасида асбоб-ускуна ва якунланмаган қурилиш бўйича аниқланган камомадлар акс эттирилган	9720	0710-0720, 0810	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
20	Табиий офатлар пайтида йўқотилган ёки уларнинг оқибатларини бартараф этишда сарфхаражат қилинган турли моддий қийматликлар ҳисобдан чиқарилган 	9720	1010-1090, 1110 ва б. 	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
21	Табиий офатлар, ёнғинлар ва ҳ.к. оқибатида тугалланмаган ишлаб чиқариш бўйича йўқотишлар акс эттирилган 	9720	2010, 2110, 2310	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
22	Табиий офатлар оқибатида хизмат кўрсатувчи ишлаб чиқаришлар томонидан кўрилган зарарлар ҳисобдан чиқарилган 	9720	2710	Табиий офат оқибатларини бартараф этиш далолатномаси, инвентарлаш далолатномаси 
