1	Ҳисобот даври якунлангандан кейин 9010 "Тайёр маҳсулотни сотишдан даромадлар" счёти ёпилган 	9010	9910	Бухгалтериянинг ҳисоб-китоби 
2	Ҳисобот даври якунлангандан кейин 9020 "Товарларни сотишдан даромадлар" счёти ёпилган 	9020	9910	Бухгалтериянинг ҳисоб-китоби 
3	Ҳисобот даври якунлангандан кейин 9030 "Бажарилган ишлар ва кўрсатилган хизматлардан олинган даромадлар" счёти ёпилган 	9030	9910	Бухгалтериянинг ҳисоб-китоби 
4	Ҳисобот даври якунлангандан кейин 9110 "Сотилган тайёр маҳсулот таннархи" счёти ёпилган 	9910	9110	Бухгалтериянинг ҳисоб-китоби 
5	Ҳисобот даври якунлангандан кейин 9120 "Сотилган товарларнинг таннархи" счёти ёпилган 	9910	9120	Бухгалтериянинг ҳисоб-китоби 
6	Ҳисобот даври якунлангандан кейин 9130 "Бажарилган ишлар ва кўрсатилган хизматлар таннархи" счёти ёпилган 	9910	9130	Бухгалтериянинг ҳисоб-китоби 
7	Ҳисобот даври якунлангандан кейин 9140 "Даврий ҳисобда ТМЗларни сотиб олиш/харид қилиш" счёти ёпилган 	9910	9140	Бухгалтериянинг ҳисоб-китоби 
8	Ҳисобот даври якунлангандан кейин 9150 "Даврий ҳисобда ТМЗлар бўйича тузатишлар" счёти ёпилган: 			Бухгалтериянинг ҳисоб-китоби
	a) биринчи вариант 	9910	9150	
	b) иккинчи вариант 	9150	9910	
9	Ҳисобот даври якунлангандан кейин асосий фаолиятдан бошқа даромадларни ҳисобга олувчи счётлар ёпилган 	9310-9390	9910	Бухгалтериянинг ҳисоб-китоби 
10	Ҳисобот даври якунлангандан кейин давр харажатларини ҳисобга олувчи счётлар ёпилган 	9910	9410, 9420, 9430, 9440 	Бухгалтериянинг ҳисоб-китоби 
11	Ҳисобот даври якунлангандан кейин молиявий фаолиятдан даромадларни ҳисобга олувчи счётлар ёпилган 	9510-9590	9910	Бухгалтериянинг ҳисоб-китоби 
12	Ҳисобот даври якунлангандан кейин молиявий фаолиятдан харажатларни ҳисобга олувчи счётлар ёпилган 	9910	9610-9690	Бухгалтериянинг ҳисоб-китоби 
13	Ҳисобот даври якунлангандан кейин 9710 "Фавқулоддаги фойдалар" счёти ёпилган 	9710	9910	Бухгалтериянинг ҳисоб-китоби 
14	Ҳисобот даври якунлангандан кейин 9720 "Фавқулоддаги зарарлар" счёти ёпилган 	9910	9720	Бухгалтериянинг ҳисоб-китоби 
15	Ҳисобот йили якунлангандан кейин солиқлар ва бошқа мажбурий тўловларни тўлаш учун фойдадан фойдаланишни ҳисобга олувчи счётларнинг дебети бўйича ҳисобга олинган суммалар 9910 "Якуний молиявий натижа" счётининг дебетига ўтказилган 	9910	9810-9820	Бухгалтериянинг ҳисоб-китоби 
16	Ҳисобот даврининг охирида соф фойда ҳисобдан чиқарилган 	9910	8710	Бухгалтериянинг ҳисоб-китоби 
17	Ҳисобот даврининг охирида корхона фаолиятидан кўрилган зарар ҳисобдан чиқарилган 	8710	9910	Бухгалтериянинг ҳисоб-китоби 
